dataset,scene,random_x0.5_ate,random_x0.5_rpe_trans,random_x0.5_rpe_rot,brake_geo_ate,brake_geo_rpe_trans,brake_geo_rpe_rot,ate_abs_improve,ate_rel_improve_pct,is_improved
scannet_s3_1000,scene0721_00,0.45049,0.0342,0.94285,0.18402,0.05034,1.13284,0.26647,59.15114652920342,True
scannet_s3_1000,scene0743_00,0.28237,0.02157,0.71733,0.13697,0.03397,0.92607,0.1454,51.49272231451113,True
scannet_s3_1000,scene0781_00,0.2932,0.05289,0.76741,0.16011,0.04993,0.65908,0.13309,45.39222373790794,True
scannet_s3_1000,scene0766_00,0.95334,0.04092,2.36677,0.54433,0.13496,4.88162,0.40901,42.90284683319393,True
scannet_s3_1000,scene0793_00,1.17825,0.06471,0.93235,0.6958,0.25885,11.06925,0.48245000000000005,40.94631869294212,True
scannet_s3_1000,scene0726_00,0.08078,0.01708,0.6444,0.04817,0.01653,0.67378,0.03261000000000001,40.368903193360126,True
scannet_s3_1000,scene0724_00,0.15597,0.02561,1.17915,0.09757,0.03215,1.5923,0.058399999999999994,37.44309803143268,True
scannet_s3_1000,scene0756_00,0.43003,0.03687,3.33896,0.27442,0.04867,0.87855,0.15561000000000003,36.18584749892755,True
scannet_s3_1000,scene0758_00,0.17661,0.03942,0.73707,0.11469,0.04027,0.76219,0.06191999999999999,35.06030236093618,True
scannet_s3_1000,scene0762_00,0.30598,0.03595,0.74496,0.20029,0.03802,0.80242,0.10568999999999998,34.54147329879553,True
scannet_s3_1000,scene0720_00,0.19698,0.031,0.99646,0.13072,0.06343,2.06985,0.06625999999999999,33.637932784883546,True
scannet_s3_1000,scene0760_00,0.16259,0.03513,0.6337,0.10934,0.036,0.66981,0.053250000000000006,32.751091702855334,True
scannet_s3_1000,scene0787_00,0.92052,0.06109,2.37959,0.67093,0.17002,3.89688,0.24958999999999998,27.114022508987183,True
scannet_s3_1000,scene0801_00,0.04455,0.01174,0.28978,0.03294,0.01214,0.29447,0.011610000000000002,26.06060606002109,True
scannet_s3_1000,scene0741_00,0.17371,0.02716,0.63045,0.13063,0.03039,0.68718,0.04308000000000001,24.799953946089463,True
scannet_s3_1000,scene0738_00,0.19246,0.04552,0.93158,0.15797,0.05304,1.00492,0.03448999999999999,17.920606879258436,True
scannet_s3_1000,scene0754_00,0.18524,0.03304,0.80158,0.15578,0.03891,1.78543,0.029459999999999986,15.90369250693206,True
scannet_s3_1000,scene0759_00,0.13796,0.03584,0.69072,0.12405,0.035,0.70494,0.013910000000000006,10.08263264707102,True
scannet_s3_1000,scene0745_00,0.54233,0.04869,1.50973,0.50991,0.07663,1.47528,0.032420000000000004,5.9779101285085146,True
scannet_s3_1000,scene0734_00,0.18961,0.03982,1.06282,0.18354,0.04394,1.06466,0.006069999999999992,3.2013079478761557,True
scannet_s3_1000,scene0718_00,0.35135,0.09806,23.01023,0.3563,0.09373,29.47174,-0.00495000000000001,-1.4088515725020412,False
scannet_s3_1000,scene0712_00,0.17204,0.0336,0.89064,0.17532,0.04004,1.59726,-0.003280000000000005,-1.9065333643227969,False
scannet_s3_1000,scene0798_00,0.10648,0.03628,0.57603,0.11041,0.04684,0.70564,-0.003929999999999989,-3.690833959394328,False
scannet_s3_1000,scene0744_00,0.37834,0.07025,2.95315,0.39596,0.06936,1.12448,-0.01761999999999997,-4.657186657491515,False
scannet_s3_1000,scene0806_00,0.09571,0.02386,0.94601,0.10048,0.02591,0.61851,-0.0047699999999999965,-4.983805244958894,False
scannet_s3_1000,scene0767_00,0.12551,0.02126,1.06424,0.13203,0.03335,1.37627,-0.006519999999999998,-5.194805194763803,False
scannet_s3_1000,scene0803_00,0.1668,0.03125,0.86777,0.18026,0.03732,2.71133,-0.01346,-8.069544364460015,False
scannet_s3_1000,scene0785_00,0.3925,0.05032,0.94281,0.427,0.08986,5.68226,-0.034499999999999975,-8.789808917175051,False
scannet_s3_1000,scene0714_00,0.42957,0.13978,9.87967,0.46863,0.17242,15.69337,-0.039059999999999984,-9.092813743955364,False
scannet_s3_1000,scene0725_00,0.17699,0.02876,1.49412,0.19575,0.06941,1.99002,-0.01876,-10.599468896487938,False
scannet_s3_1000,scene0740_00,0.19715,0.0378,1.17655,0.2191,0.057,10.68058,-0.021949999999999997,-11.133654577676216,False
scannet_s3_1000,scene0709_00,0.57709,0.07021,0.98856,0.70182,0.19717,6.52357,-0.12473000000000001,-21.613613127897537,False
scannet_s3_1000,scene0719_00,0.23004,0.04995,1.19543,0.28049,0.06797,1.0493,-0.05045000000000002,-21.930968527117333,False
scannet_s3_1000,scene0786_00,0.16852,0.04032,0.78122,0.20593,0.05494,0.85009,-0.03741,-22.199145501885834,False
scannet_s3_1000,scene0722_00,0.30043,0.05668,1.30999,0.36951,0.08499,1.55786,-0.06908000000000003,-22.993709016999002,False
scannet_s3_1000,scene0799_00,0.12965,0.03608,0.74832,0.16209,0.05798,1.0972,-0.032440000000000024,-25.021210952371625,False
scannet_s3_1000,scene0715_00,0.43823,0.13924,24.04265,0.55639,0.09304,13.52995,-0.11816000000000004,-26.963010291337973,False
scannet_s3_1000,scene0752_00,0.25516,0.04795,4.39942,0.32688,0.07413,3.71004,-0.07172,-28.10785389548477,False
scannet_s3_1000,scene0772_00,0.47097,0.04838,1.27589,0.60706,0.11003,10.85724,-0.13609000000000004,-28.89568337679918,False
scannet_s3_1000,scene0753_00,0.21069,0.04067,0.91025,0.27438,0.04785,0.93199,-0.06369000000000002,-30.229246760500132,False
scannet_s3_1000,scene0723_00,0.14654,0.02696,0.99544,0.19804,0.04428,1.39508,-0.05149999999999999,-35.14398798938757,False
scannet_s3_1000,scene0748_00,0.23808,0.05833,1.95659,0.3266,0.17006,12.91192,-0.08851999999999999,-37.180779569736295,False
scannet_s3_1000,scene0742_00,0.06151,0.02097,0.82493,0.08594,0.02844,0.9281,-0.02443,-39.717119166969326,False
scannet_s3_1000,scene0797_00,0.32137,0.05195,0.84464,0.45198,0.13939,14.17724,-0.13061,-40.64162802987012,False
scannet_s3_1000,scene0757_00,0.31561,0.03418,0.68942,0.45745,0.05585,3.74663,-0.14184000000000002,-44.94154177610044,False
scannet_s3_1000,scene0746_00,0.27117,0.05279,1.02849,0.39313,0.17355,10.53301,-0.12195999999999996,-44.97547663810532,False
scannet_s3_1000,scene0735_00,0.12292,0.02927,1.06504,0.18555,0.04278,2.98407,-0.06262999999999999,-50.9518385937931,False
scannet_s3_1000,scene0790_00,0.12772,0.03298,0.71307,0.19463,0.05339,0.94244,-0.06691,-52.38803632906054,False
scannet_s3_1000,scene0782_00,0.16216,0.03578,0.67366,0.24746,0.06559,0.72548,-0.08530000000000001,-52.602368031249384,False
scannet_s3_1000,scene0739_00,0.15754,0.02778,0.73649,0.24418,0.04074,8.419,-0.08664,-54.99555668366766,False
scannet_s3_1000,scene0710_00,0.11518,0.03412,1.42204,0.17928,0.04137,1.33201,-0.06409999999999999,-55.65202292016276,False
scannet_s3_1000,scene0717_00,0.32983,0.11616,6.15606,0.51897,0.10473,8.35286,-0.18914000000000003,-57.34469272031853,False
scannet_s3_1000,scene0804_00,0.10274,0.02693,6.22926,0.16299,0.04869,0.79106,-0.06025,-58.64317695095733,False
scannet_s3_1000,scene0789_00,0.11168,0.02941,0.4531,0.18211,0.04141,0.53477,-0.07042999999999999,-63.06411174728631,False
scannet_s3_1000,scene0733_00,0.37253,0.04127,0.91487,0.61907,0.14462,5.94531,-0.24654000000000004,-66.17990497391841,False
scannet_s3_1000,scene0707_00,0.32266,0.04961,0.70635,0.54926,0.0825,0.85355,-0.22659999999999997,-70.22872373374378,False
scannet_s3_1000,scene0776_00,0.44212,0.06651,3.38089,0.83539,0.17301,7.51728,-0.39326999999999995,-88.9509635391094,False
scannet_s3_1000,scene0800_00,0.28646,0.05846,0.79688,0.56187,0.09424,13.4246,-0.27541,-96.14256789745116,False
scannet_s3_1000,scene0732_00,0.20304,0.02702,0.78703,0.42357,0.14372,11.592,-0.22053,-108.61406619331848,False
scannet_s3_1000,scene0788_00,0.45207,0.07936,0.9393,0.98888,0.065,2.02986,-0.53681,-118.74488464149636,False
scannet_s3_1000,scene0747_00,0.30851,0.05894,1.2364,0.68907,0.19814,1.50919,-0.38055999999999995,-123.35418624964068,False
scannet_s3_1000,scene0731_00,0.32716,0.05873,4.72414,0.75551,0.10472,13.26845,-0.42835,-130.92982027102664,False
scannet_s3_1000,scene0805_00,0.17801,0.0367,0.9374,0.43032,0.13938,20.03593,-0.25231,-141.73922813245468,False
scannet_s3_1000,scene0783_00,0.16473,0.04109,0.92946,0.39915,0.25184,8.67816,-0.23442000000000002,-142.30559096617313,False
scannet_s3_1000,scene0792_00,0.10996,0.03829,0.78269,1.04106,0.19973,18.4674,-0.9311,-846.762459068327,False
